,sentence,scope
5387,negative,ins
5388,what you just said is wrong,ins
5389,that’s actually wrong,ins
5390,that’s not correct,ins
5391,that’s incorrect,ins
5392,are you sure i don’t think that’s correct,ins
5393,that'd be a no,ins
5394,nada,ins
5395,the answer is no,ins
5396,i think that's false,ins
5397,i believe that to be false,ins
5398,it seems not,ins
5399,that would be false,ins
5400,is the apr on my credit card good,ins
5401,how good is the apr on my credit card,ins
5402,do i have a good apr on my credit card,ins
5403,does my credit card apr fall into a good range,ins
5404,tell me how the apr on my hy-vee card is,ins
5405,what's my apr on my discovery card,ins
5406,what's an example of a good apr and what do i have,ins
5407,how much is my apr on my bank of america card,ins
5408,is my visa card's apr decent,ins
5409,how good is the apr on my mastercard compared to others,ins
5410,is the apr rate on my amex pretty good,ins
5411,can you inform me what my apr is on my visa,ins
5412,how high is the apr on my mastercard,ins
5413,how much is my amex's apr,ins
5414,what's the current apr for my mastercard,ins
5415,how much do i pay in apr on my amex card,ins
5416,what is the apr on my master card,ins
5417,what is the apr on my visa card,ins
5418,what is the apr on my discover card,ins
5419,what is the apr on my chase freedom card,ins
5420,what is the apr on my american express card,ins
5421,what is the credit card apr exactly,ins
5422,what is the credit card apr at the moment,ins
5423,what is the credit card apr if you could fill me in,ins
5424,what is the credit card apr please,ins
5425,what is the credit card apr if you could tell me,ins
5426,could you tell me what is the apr for the credit card,ins
5427,could you please state the apr for the credit card,ins
5428,what is the credit card's apr,ins
5429,what is the apr for the credit card,ins
5430,could you please tell me the apr for the credit card,ins
5431,what is the apr rate on my bank of america card,ins
5432,"i need to know on my citibank card, what is the apr",ins
5433,i need to know the apr on my credit union visa,ins
5434,"on my bank of america visa, what is the apr",ins
5435,what is the apr on my aaa visa card,ins
5436,review of my card apr,ins
5437,how good is card apr,ins
5438,can you give me an appraisal of my card's apr,ins
5439,tell me the apr on my mastercard,ins
5440,give me the apr for my mastercard,ins
5441,fill me in on the apr for my american express card,ins
5442,would you say that my card's apr is,ins
5443,give me information about my card's apr,ins
5444,what is the apr on my barclay's card,ins
5445,i need to know the apr for my visa card,ins
5446,can you look into whether my card has good apr or not,ins
5447,tell me how good the apr is on my card please,ins
5448,i must know my visa card's apr,ins
5449,i need the apr on my visa card,ins
5450,get me the apr on my visa card,ins
5451,the apr on my visa card is what,ins
5452,can you tell me the apr on my visa card,ins
5453,my visa card  what's the apr on that,ins
5454,"the apr on my disney visa, what is that exactly",ins
5455,i'd like to know the apr on my visa card,ins
5456,"hey siri, tell me the apr on my disney visa",ins
5457,"check the apr on my disney visa, please",ins
5458,how much is the apr these days on my nordstrom credit card,ins
5459,"on my wells fargo mastercard, what is the current apr",ins
5460,tell me the current apr on my visa card from bbt,ins
5461,what is the apr on my chase visa,ins
5462,what will the apr on my transferred balance be after the first year on my bank of america credit card,ins
5463,what's my apr on the credit card i used for a purchase a week ago,ins
5464,what's my apr on the card i recently used to make a purchase,ins
5465,what's my apr on my primary credit card,ins
5466,what's my apr on this card,ins
5467,what's the apr like for my credit card,ins
5468,this credit card's apr is what,ins
5469,what apr do i have with my credit card,ins
5470,what apr does this credit card have,ins
5471,what is the apr to my credit card,ins
5472,i want you to tell me my credit card's apr,ins
5473,tell me what my credit card's apr is,ins
5474,would you please inform me about my credit card's apr,ins
5475,do you know my credit card's apr,ins
5476,it would be great if you could tell me my credit card's apr,ins
5477,what is my credit card's annual percentage rate,ins
5478,tell me my credit card's annual percentage rate,ins
5479,"my credit card's apr, please",ins
5480,can you let me know my credit card's apr,ins
5481,what is my apr for my credit card,ins
5482,what is my apr,ins
5483,i want to know my credit card apr,ins
5484,is my apr for my credit card available,ins
5485,tell me my credit card apr,ins
5486,"what's the apr on my visa card, please",ins
5487,what's the apr on my amex card,ins
5488,"what's the apr on my amex card, please",ins
5489,"what is the apr on my amex card, please",ins
5490,what is the apr on my amex card,ins
5491,give me my credit card's apr,ins
5492,what is the apr for my credit card,ins
5493,please say my credit card's apr,ins
5494,what is my credit card's apr,ins
5495,please say the apr for my credit card,ins
5496,credit card annual rate,ins
5497,what's the annual rate on my discover card,ins
5498,tell me the apr of my credit card,ins
5499,what's the apr of my discover card,ins
5500,what's the nutritional info for spaghetti,ins
5501,what's the nutritional info for pizza,ins
5502,how healthy are potato skins,ins
5503,how healthy is spaghetti,ins
5504,share the nutrition info for brownies with me,ins
5505,share the nutrition info for french fries with me,ins
5506,what's the nutritional info for potato skins,ins
5507,what's the nutritional info for lasagna,ins
5508,how healthy are french fries,ins
5509,share the nutrition info for spaghetti with me,ins
5510,share the nutrition info for cake with me,ins
5511,what's the nutritional info for french fries,ins
5512,how healthy is tomato soup,ins
5513,share the nutrition info for pizza with me,ins
5514,what do you know to be the nutritional info for macaroni and cheese to be,ins
5515,the nutritional info for macaroni and cheese is what,ins
5516,can you read to me the nutritional info for macaroni and cheese,ins
5517,do you know the nutritional info for macaroni and cheese,ins
5518,can you remember the nutritional info for macaroni and cheese,ins
5519,is it healthy to eat pizza,ins
5520,is pizza healthy,ins
5521,how healthy is pizza,ins
5522,could pizza be healthy,ins
5523,is pizza considered healthy,ins
5524,"i'd like to know the nutritional content of eggs, please",ins
5525,what's the nutrition content of chicken nuggets,ins
5526,give me the nutrition facts for chicken breast,ins
5527,what's the nutritional information for steak,ins
5528,can you tell me the nutritional content of chicken nuggets,ins
5529,what's the nutritional information of iceberg lettuce,ins
5530,what kind of nutritional content do carrots have,ins
5531,nutritional information for celery,ins
5532,what are the nutritional facts of waffles,ins
5533,can you tell me the nutrition info for pork sausage,ins
5534,what's the nutritional info for an apple,ins
5535,what's the nutritional info for chicken breast,ins
5536,what's the nutritional info for a banana,ins
5537,what's the nutritional info for a cheeseburger,ins
5538,what's the nutritional info for a loaf of bread,ins
5539,mashed potato's nutrition,ins
5540,nutrition information of mashed potatoes,ins
5541,what are the nutritional data for mashed potatoes,ins
5542,are mashed potatoes good nutrition,ins
5543,give me the nutritional information for mashed potatoes,ins
5544,how healthy are apples,ins
5545,i want to know if pizza is healthy,ins
5546,can you tell me how healthy apples are,ins
5547,are pasta dishes healthy,ins
5548,do you know the nutrition facts for grapes,ins
5549,i must know the nutritional info for grapes,ins
5550,grapes have what kind of nutritional facts,ins
5551,tell me the nutrition for grapes,ins
5552,can you show me the nutrition facts for grapes,ins
5553,i want to know the nutrition info for chicken nuggets,ins
5554,tell me the nutritional information for chicken nuggets,ins
5555,"nutrition information for chicken nuggets, please",ins
5556,can you tell me the nutritional information for chicken nuggets,ins
5557,i would like you to share with me the nutrition info for chicken nuggets,ins
5558,i want to know how nutritious an avocado typically is,ins
5559,can you give me nutritional info on oranges,ins
5560,can you tell me how many calories are in an apple,ins
5561,i would like to know how much fat is in tbsp of olive oil,ins
5562,can you give the nutritional information for the pasta,ins
5563,let me see the nutrition content of the chicken tacos,ins
5564,i need to see the chicken salad's nutritional info,ins
5565,i need to know all about the nutrition of the beef taco,ins
5566,i want to see the nutritional content of the hamburger,ins
5567,what sort of nutrients does a steak have,ins
5568,what's the facts about nutrients in rice milk,ins
5569,what type of nutrition does spaghetti have,ins
5570,how many kinds of nutrients does a glass of rice milk have,ins
5571,can you give me information about the nutrition facts for celery,ins
5572,what's the nutrient make up of a plate of spaghetti,ins
5573,what's the nutrient info for a donut,ins
5574,what's the nutritional info for a ganola bar,ins
5575,can you tell me about the nutrients in jello,ins
5576,how many nutrients are there in a bowl of cereal,ins
5577,i need to know how healthy meatloaf is,ins
5578,what are the nutrition facts of grilled chicken,ins
5579,what are the nutrition facts for macaroni and cheese,ins
5580,please fill me in on the nutrition facts for shrimp scampi,ins
5581,is spaghetti healthy,ins
5582,tell me how healthy mac and cheese is,ins
5583,please give me the nutrition facts for chicken parmesan,ins
5584,how healthy is grilled chicken,ins
5585,i want to know the nutrition facts for pizza,ins
5586,do you have nutrition facts for cheerios,ins
5587,where are the nutrition facts for cheerios,ins
5588,how nutritious are cheerios,ins
5589,where on the cheerios box are the nutrition facts,ins
5590,does the box have nutrition facts for cheerios on it,ins
5591,what are the nutrition facts for a mcdouble at mcdonalds,ins
5592,how healthy are lunchables,ins
5593,what are the nutrition facts for a medium popcorn at the movies,ins
5594,what's the nutritional info for a subway chicken sandwhich,ins
5595,what are the nutrition facts for a rodeo cheese burger at burger king,ins
5596,how healthy is pho,ins
5597,what's the nutritional value for a pizza lunchable,ins
5598,how healthy is stax chips,ins
5599,what's the nutritional info for a cup of noodle soup,ins
5600,does my calendar have anything for january 1st,ins
5601,what is there on january 1st on my calendar,ins
5602,are there any events on my calendar for january 1st,ins
5603,what do i have to do on january 1st,ins
5604,do i have anything scheduled on january 1st,ins
5605,what items do i have on my calendar for easter,ins
5606,"what do i have on my calendar today, the 3rd",ins
5607,"what've i got set for friday, the 13th, of next year",ins
5608,is my daughter's birthday on my calendar,ins
5609,did i had my wife and mine anniversary to my calendar,ins
5610,did i put an item on the calendar to get the dog neutered,ins
5611,"can you tell me what's on my calendar for march 05, 2019",ins
5612,does the calendar already have easter noted on it,ins
5613,do i have a note on the calendar for black friday,ins
5614,what's on my calendar for march 01,ins
5615,anything on the schedule for october 14th,ins
5616,what does my schedule look like for april 1,ins
5617,do i have anything to do march 2nd,ins
5618,what do i have on my calendar for february 8,ins
5619,how is my calendar looking for may 6th,ins
5620,what do i have planned on my calendar for next sunday,ins
5621,do i have anything on my calendar next sunday,ins
5622,show me my calendar for next sunday,ins
5623,is my calendar free next sunday,ins
5624,what is on my calendar next sunday,ins
5625,what do i have scheduled on march 2nd on my calendar,ins
5626,are there any events on my calendar for march 2nd,ins
5627,have i scheduled anything on march 2nd on my calendar,ins
5628,do i have anything on my calendar for march 2nd,ins
5629,what do i have going on march 2nd on my calendar,ins
5630,what's happening on may 3rd,ins
5631,what's in the books for april 30th,ins
5632,what do i have going on may 4th,ins
5633,what is on my calander for valentines day,ins
5634,on the 26th what is on the table for my calendar,ins
5635,when am i next having a meeting in december,ins
5636,what is currently on my calendar for friday the 1st,ins
5637,tell what is showing on my calendar for the 17th of march,ins
5638,i wanna know what is currently on my calendar for friday the 1st,ins
5639,let me know what is showing on my calendar for the 17th of march,ins
5640,please inform me what is showing on my calendar for the 17th of march,ins
5641,i must know what is currently on my calendar for friday the 1st,ins
5642,i need to know what is currently on my calendar for friday the 1st,ins
5643,what is showing on my calendar for the 17th of march,ins
5644,i gotta know what is currently on my calendar for friday the 1st,ins
5645,tell me what is showing on my calendar for the 17th of march,ins
5646,what do i have scheduled on 3/15,ins
5647,what do i have planned on 3/15,ins
5648,what do i have to do on march 2 that's on my calendar,ins
5649,tell me what is on my calendar for march 2,ins
5650,what do i have on my calendar for march 2,ins
5651,let me know my march 2 calendar,ins
5652,what is on march 2 calendar,ins
5653,what time is my haircut on wednesday,ins
5654,do i have any appointments on tuesday,ins
5655,can you see whether i have an event called amy's surprise party on my calendar,ins
5656,can you tell me what my may 1st will be like according to my calendar,ins
5657,tell me everything on my calendar for may 1,ins
5658,remind me of the date of the event called 'anniversary dinner,ins
5659,what is on my schedule for the day of march 5th,ins
5660,what do i have scheduled for february 28th,ins
5661,what events are on my calendar for april 1st,ins
5662,is there an event titled anniversary dinner on my calendar,ins
5663,tell me if there is an event called annual physical in my calendar,ins
5664,can you give me an overview of what march 23 will look like for me,ins
5665,tell me what my calendar looks like for march 12th,ins
5666,check my calendar to see if an event called final exams exists,ins
5667,what do i have on my calendar for march 11,ins
5668,does my calendar include an event called shana's baby shower,ins
5669,pull up my calendar and tell me what i have scheduled for march 30,ins
5670,do i have anything on my schedule for april 15,ins
5671,tell me any events scheduled on my calendar for april 15,ins
5672,tell me what my calendar looks like for april 13,ins
5673,what have i got planned for the date of april 23,ins
5674,tell me what is on my calendar for april 1,ins
5675,"the 21st, what is on my calendar",ins
5676,what's on the calendar for march 4th,ins
5677,what's on my calendar for tuesday,ins
5678,what's on my calendar for the 18th of march,ins
5679,i have what to do on wednesday,ins
5680,what do i have scheduled for march 2,ins
5681,do i have anything on my calendar for may 3,ins
5682,i want my schedule for march 2,ins
5683,tell me what is on my calendar for may 3,ins
5684,what's on my schedule for may 3,ins
5685,read me my schedule for march 2,ins
5686,do i have anything on my schedule for may 3,ins
5687,read my appointments for march 2,ins
5688,what is on my schedule for tomorrow,ins
5689,search my calendar for birthday party,ins
5690,do i have 30th birthday party on my calendar,ins
5691,search my calendar for birthday,ins
5692,check my calendar for 30th birthday party,ins
5693,check my calendar for saturday,ins
5694,tell me what's on the calendar for saturday,ins
5695,read my calendar events,ins
5696,what's on my agenda for tomorrow,ins
5697,what am i supposed to be doing today,ins
5698,what do i have planned for tomorrow,ins
5699,what do i have on my calendar for monday the 1st of march,ins
5700,book an uber for 6 people to go to the movies,ins
5701,i need an uber for 6 people to the movies,ins
5702,book a 6 person uber to the movies,ins
5703,i need an uber to the movies for me and 5 other people,ins
5704,i'm going to the movies book an uber for 6 people,ins
5705,i need an uber to take me to the mall,ins
5706,are there any ubers available that fit 5 people we are going to wendys,ins
5707,call an uber that fits 5 people that are on their way to wendys,ins
5708,book an uber suitable for seating 5 individuals and headed for the mall,ins
5709,book me an uber to olive garden,ins
5710,please book an uber for chima's,ins
5711,call an uber to mark's house,ins
5712,call an uber to mcdonalds,ins
5713,i need an uber for 5 people to go to wendys,ins
5714,please order an uber for me to go to the zoo,ins
5715,can you please book an uber to the zoo,ins
5716,order a large uber for 5 people to the zoo,ins
5717,schedule an uber to the bean,ins
5718,i am in need of an uber to the hospital,ins
5719,i need an uber to times square asap,ins
5720,i need an uber that will accommodate eight people to go to the closest amc theater,ins
5721,can i get an uber for five people to go to the national gallery of art,ins
5722,i need to get an uber for three people to go to the zoo,ins
5723,i want to get an uber for one person to go to the library,ins
5724,i need an uber that fits ten people to go to chipotle,ins
5725,get an uber to take me to my brother's house in mineola,ins
5726,i need an uber for 3 passengers to go to madison square garden,ins
5727,get an uber to pick me up at work and take me home,ins
5728,we need an uber pool for 2 passengers going to the greenboro airport,ins
5729,find an uber xl to take me to the kroger near me,ins
5730,find an uber for two passengers we are going to the airport in toledo,ins
5731,"i need an uber with a car seat for 2 adults and one child to take us to wilmington, de",ins
5732,get an uber for 4 passengers to get us to the phl airport,ins
5733,i need an uber pool from home in the morning at seven to the capitol building,ins
5734,i need an uber to class tonight on the mainline campus,ins
5735,can i get an uber for 2 home,ins
5736,can i get an uber to central park for 5,ins
5737,can i get a car to the baseball field for 12,ins
5738,can i get an uber for 4 to the mall,ins
5739,can i get an uber for myself to the grocery store,ins
5740,i need to go to phoenix sky harbor airport using uber,ins
5741,can you send me an uber to go to a restaurant in downtown phoenix,ins
5742,is there any uber available to take me to the airport,ins
5743,i want to reserve an uber to go to the airport,ins
5744,i need an uber please,ins
5745,help me get an uber to soldier field,ins
5746,help me get an uber to ann arbor,ins
5747,i need an uber to the sears tower,ins
5748,can you get me an uber to the science museum,ins
5749,assist me with finding an uber to big ben,ins
5750,"book an uber with the destination set to david's house, please",ins
5751,i need an uber reserved to take me to the restaurant,ins
5752,"i would like an uber going to the train station, please",ins
5753,please book me an uber ride to the stadium,ins
5754,can you please reserve my uber to go to devon's seafood restaurant,ins
5755,can you please order me an uber to get to jfk international,ins
5756,"please book me an uber and enter destination penn station, new york",ins
5757,"make an uber reservation to the ymca, center city, philadelphia, please",ins
5758,i need an uber to get to dulles airport,ins
5759,"i would like an uber going to atlantic city, new jersey",ins
5760,i need an uber,ins
5761,please get me an uber to get to the movies,ins
5762,i would like to get an uber to the movies,ins
5763,i would like an uber please,ins
5764,am i able to get an uber to the movies,ins
5765,can you get me an uber to the movies,ins
5766,i want an uber,ins
5767,i need an uber to the movies,ins
5768,get me an uber,ins
5769,i would like to request an uber please,ins
5770,"uber, i have 3 people who are going to union station",ins
5771,i need to get 3 riders to union station,ins
5772,i want to book uber for 3 people to union station,ins
5773,3 of us need to get to union station via uber,ins
5774,can i get an uber to union station for 3 riders,ins
5775,i need an uber to the doctor,ins
5776,i need to catch an uber to cal expo,ins
5777,schedule an uber to the mall,ins
5778,get me an uber to the napa winery,ins
5779,schedule me an uber to my job,ins
5780,schedule me an uber to the mall,ins
5781,get me an uber to the airport,ins
5782,get me an uber to chilis,ins
5783,book an uber to school,ins
5784,get an uber to the airport,ins
5785,ai i need to go to charlies with eight adults can you get uber,ins
5786,ai i have 4 people need to get to get me uber,ins
5787,i am stranded and need uber,ins
5788,set me up with an uber,ins
5789,i will need an uber for 3 to go to jfk airport,ins
5790,i need an uber for 2 for orlando,ins
5791,get me an uber for 4 heading to miam,ins
5792,i will need an uber for 2 people to get to philadelphia,ins
5793,i need to uber somewhere,ins
5794,help me get an uber,ins
5795,schedule an uber for 3 to go to the airport,ins
5796,call an uber for 2 people to go to fourth street live,ins
5797,i'm going to need an uber to take 4 people to the mall,ins
5798,i need an uber for 7 people to go to safire restaurant,ins
5799,can you call an uber for 2 to go to proof on main,ins
5800,what is 7 x 7,ins
5801,please add 456 and 781 for me,ins
5802,what is 8 factorial,ins
5803,can you tell me what 30% off 279 is,ins
5804,"can you tell me what 30% off 235 is, please",ins
5805,what is the sum of 3 plus 5,ins
5806,"could you tell me what 30% off 235 is, please",ins
5807,can you tell me what 30% off 235 is,ins
5808,"can you tell me what 30% off 279 is, please",ins
5809,what is the sum of 10 plus 5,ins
5810,what is 4 + 4,ins
5811,what is 60 percent off of 350 dollars,ins
5812,what is an 18 percent tip on 20 dollars,ins
5813,what is 25 percent of 6999,ins
5814,can you tell me what is 18 percent of $2500,ins
5815,what is 3/4 of 18,ins
5816,i need to know what is 85% of $1500,ins
5817,what is 20% of a thousand,ins
5818,what is 55 times 300,ins
5819,what is the square root of 1 million,ins
5820,will you help me with a math problem,ins
5821,can you help me solve a math problem,ins
5822,how to solve this math problem,ins
5823,what is 4 + 7,ins
5824,what is 4 x 4,ins
5825,what is 2 + 2,ins
5826,what is 20+ 5,ins
5827,what is 500 x 25,ins
5828,what is 2+2,ins
5829,what is 10 + 20,ins
5830,what is 22+ 6,ins
5831,what is the square root of 80,ins
5832,what is 5 x 4,ins
5833,what is 15% of 3143,ins
5834,what is the square root of 10294,ins
5835,how many square feet is a 13 by 74 room,ins
5836,what is three quarters of one sixth,ins
5837,what is 213 times 3,ins
5838,what is the square root of 144,ins
5839,what is the antilog of 365,ins
5840,what is 78 times 85,ins
5841,what is 250 times 118 times 9,ins
5842,what is 78 times 81 minus 5,ins
5843,what is 1785 minus 334 minus 87 plus 374 minus 400 plus 17,ins
5844,help me with math,ins
5845,i need you to help me with some math if you can,ins
5846,please help with my math,ins
5847,can you help me do math,ins
5848,can you do a math problem,ins
5849,what is 1 million twelve hundred divided by 400 thousand,ins
5850,what is the square root of 10500,ins
5851,what is 20 times 20 times 30,ins
5852,what is 10 to the 12th power,ins
5853,how much is 50 plus 756,ins
5854,what is 750 divided by 5,ins
5855,if i win 200000 how do i split it 7 ways,ins
5856,what is 900 times 8,ins
5857,can you tell me what 80 divided buy 4 is,ins
5858,560 divided by 3,ins
5859,what is 606 divided by 5,ins
5860,subtract 100 from 12,ins
5861,what is 005 percent of 1 percent,ins
5862,what is the square root of 31,ins
5863,what is six divided by 16,ins
5864,how many times can 12 go into 600,ins
5865,what is the square root of sixteen,ins
5866,what is 562 times 400,ins
5867,add twelve and twelve please,ins
5868,what is 10 + 10,ins
5869,what is the square root of 5,ins
5870,what is 1/2 times 5/8,ins
5871,what is 80980 + 098098 + 80980 + 1243,ins
5872,what is 13 times 45,ins
5873,what is 34 times 80908,ins
5874,what is 90908 divided by 30890,ins
5875,what is 38% of 389209,ins
5876,what is the square root of 66,ins
5877,what is 2/3 x 1/9,ins
5878,can you do algebra,ins
5879,what is 1 fifth times 2 fifths,ins
5880,what's 3 plus 3,ins
5881,what's ten times eight,ins
5882,i need to know what 75 plus 43 is,ins
5883,what do you get if you divide 3 by 2,ins
5884,what is the area of a 20 x 20 room,ins
5885,subtract 85 from 997,ins
5886,what is 20 + 20,ins
5887,what is the square root of 2784,ins
5888,how many times does 8 go into 2000,ins
5889,what is 35 times 23,ins
5890,what is 3 to the 6th power,ins
5891,what is 63 percent of 145,ins
5892,can you calculate 18 divided by 45,ins
5893,what is the square root of 104,ins
5894,what’s the answer to 5-6=,ins
5895,what is the sum of 8 + 3,ins
5896,please provide the square root of 36,ins
5897,what does 6 x 1 equal,ins
5898,what does 2 + 2 equal,ins
5899,what is 10000 divided by 20,ins
5900,i would like to know what today's date is,ins
5901,i need information on today's date,ins
5902,tell me what date it is please,ins
5903,tell me what day today is,ins
5904,can you tell me tomorrow's date,ins
5905,what is the date for tomorrow,ins
5906,i would like to know tomorrow's date,ins
5907,what is the month and day tomorrow,ins
5908,"in six days, what will it be",ins
5909,what day will it be in fourteen days,ins
5910,which day will it be five days from now,ins
5911,"after another eight days, what day will it be",ins
5912,what day is it gonna be in twenty-one days,ins
5913,current date,ins
5914,what day of the month is it today,ins
5915,what date is it,ins
5916,can you tell me the date today,ins
5917,please share today's date,ins
5918,what date is it today,ins
5919,what day is it,ins
5920,what is the day,ins
5921,tell me what day it is,ins
5922,"is it monday, tuesday, wednesday, thursday, friday, saturday, or sunday",ins
5923,what's the day of the week,ins
5924,"what's the date tomorrow, please",ins
5925,what is the date tomorrow,ins
5926,"what is the date tomorrow, please",ins
5927,"what is tomorrow's date, please",ins
5928,can you tell me what today's date is,ins
5929,"what is today's month, day and year",ins
5930,today's date is what,ins
5931,please tell me today's date,ins
5932,could you tell me today's date,ins
5933,i need to know today's date please,ins
5934,would you please tell me today's date,ins
5935,what is the date today,ins
5936,today's date is what exactly,ins
5937,please tell me what date it is today,ins
5938,can you tell me today's date,ins
5939,i need to know today's date,ins
5940,what would tomorrow's date be,ins
5941,tell me the date today,ins
5942,i'd like to know the date tomorrow,ins
5943,"in 2 days, what date will it be",ins
5944,what will be the date tomorrow,ins
5945,what will the date be in 10 days,ins
5946,"15 days from today, what will the date be",ins
5947,what's the date tomorrow,ins
5948,i need to know what date it is tomorrow,ins
5949,"in 100 days from now, what will be the date",ins
5950,what will be the date in 100 days from now,ins
5951,tell me what the date is tomorrow,ins
5952,give me tomorrow's date please,ins
5953,what day is it today,ins
5954,do you have the date,ins
5955,what is the date of today,ins
5956,please give me today's date,ins
5957,what is today's date,ins
5958,what date is today,ins
5959,what is today,ins
5960,today is what date,ins
5961,what's the day today,ins
5962,what year is it,ins
5963,what's the date 400 days from now,ins
5964,can you tell me the current date,ins
5965,tell me the date 650 days from now,ins
5966,"what's the current date, month and year",ins
5967,what will the date be 100 days from now,ins
5968,what day of the week is it,ins
5969,what day will it be 373 days from now,ins
5970,i need to know the date in 256 days,ins
5971,what is the date,ins
5972,give me the date today,ins
5973,i need to know what the date is today,ins
5974,i'd like to know what the date is,ins
5975,what's today's date,ins
5976,tell me what the date is today,ins
5977,show me a calendar,ins
5978,show me the date,ins
5979,i need the full date for today,ins
5980,what day of the month is it,ins
5981,can you remind me of the date,ins
5982,"tomorrow, what will the date be",ins
5983,tell me what the date is for tomorrow,ins
5984,tell me what the date will be tomorrow,ins
5985,what is tomorrow's date,ins
5986,what's tomorrow on the calender,ins
5987,what date is tomorrow,ins
5988,calender says tomorrow is,ins
5989,tell me tomorrow's date,ins
5990,the date tomorrow is what,ins
5991,when will it be in 10 days,ins
5992,what day is it tomorrow,ins
5993,what's the current date,ins
5994,what is the full date after today,ins
5995,what's the date 32 days from now,ins
5996,can you tell me the date,ins
5997,what will the date be in 64 days,ins
5998,can you tell me what the next day is,ins
5999,what's today,ins
6000,"if i fly american to los angeles, how many carry ons am i allowed",ins
6001,how many carry ons will american let me take for a flight to los vegas,ins
6002,"if i take a flight on pan am to denver, how many carry ons are included",ins
6003,"if i fly on virgin to chicago, how many carry ons can i take",ins
6004,how my carry ons does spirit airlines allow me for a flight to dallas,ins
6005,would you let me know how many carry ons i can take on a flight with southwest airlines to miami,ins
6006,i need to know the carry-on restrictions for united airlines,ins
6007,tell me the carry-on restrictions for united airlines,ins
6008,i need to know how many carry ons i can take on a flight with southwest airlines to houston,ins
6009,let me know how many carry ons i can take on a flight with southwest airlines to dallas,ins
6010,tell me how many carry ons i can take on a flight with southwest airlines to dallas,ins
6011,would you let me know the carry-on restrictions for american airlines,ins
6012,i am wanting to know how many carry ons i can take on a flight with southwest airlines to houston,ins
6013,could you list out the carry-on restrictions for american airlines,ins
6014,i am wanting to know the carry-on restrictions for united airlines,ins
6015,what carry-on restrictions does southwest impose,ins
6016,carry-on restrictions for air emirates,ins
6017,does delta have any carry-on restrictions,ins
6018,what's restricted in my carry-on with united,ins
6019,what restrictions do my carry-ons need to comply with for delta,ins
6020,how much luggage can i carry with me on flight dl2200 to denver,ins
6021,am i allowed carry ons for my flight with westjet to edmonton,ins
6022,how many carry ons am i allowed to take on my canadair flight to frankfurt,ins
6023,is there are limit of carry ons for my flight with aer lingus to cork,ins
6024,what are the carry on limits for delta,ins
6025,am i limited in carry ons for jet blue,ins
6026,what am i allowed to carry on for american airlines,ins
6027,does delta have any restrictions for what i can carry on,ins
6028,does jet blue have any carry-on restrictions,ins
6029,how many carry-on items are allowed per passenger,ins
6030,what are the carry-on rules,ins
6031,is there a carry-on item weight limit,ins
6032,how big can a carry-on bag be,ins
6033,does delta have carry-on restrictions,ins
6034,do you know the carry-on restrictions for delta,ins
6035,delta has too many carry-on restrictions! do you know them,ins
6036,are there carry-on restrictions for delta,ins
6037,what are the carry on rules for united,ins
6038,tell me united's carry on policy,ins
6039,what should i know about the carry on policy for american,ins
6040,let me know the carry on policy for alaska airlines,ins
6041,i want to know the carry on policy for southwest,ins
6042,"if i fly internationally, do brittish airwaiys have carry-on limitations",ins
6043,"can i carry on a garment bag, a small travel bag, and a back pack on my trip with american airlines",ins
6044,i am flying jetblue and need to know what the most number of bags are that i can carry on,ins
6045,what are the carry-on fees with delta for international flights,ins
6046,what are the carry-on limits for flying domestically with delta,ins
6047,how many carry ons can i take on a flight with jet blue to washington dc,ins
6048,how many carry ons can i take on a flight with virgin airlines to vancouver bc,ins
6049,how many carry ons can i take on a flight with delta to mexico city,ins
6050,how many carry ons can i take on a flight with united to lax,ins
6051,how many carry ons can i take on a flight with american airlines to seattle,ins
6052,what is the carry-on policy say for flights on delta airlines,ins
6053,what are the carry-on restrictions for singapore airlines,ins
6054,what are the carry-on restrictions for frontier airlines,ins
6055,what does the carry-on policy say for flights on united airlines,ins
6056,how many bags can i carry-on for flights on singapore airlines,ins
6057,what are the carry-on restrictions for delta,ins
6058,what are the carry-on restrictions for united,ins
6059,what are the carry-on restrictions for southwest airlines,ins
6060,what are the rules regarding carry-on baggage for flights on virgin airlines,ins
6061,what can't i carry-on to delta,ins
6062,what is the carry on limit,ins
6063,what are delta's carry-on policies for flights,ins
6064,what are the rules for carry on luggage,ins
6065,can you look up the carry-on restrictions for delta,ins
6066,are there restrictions for carry-ons on delta,ins
6067,what can i carry-on delta flights,ins
6068,do i have to pay for carry-ons on delta,ins
6069,what are the carry on limits for delta flights,ins
6070,is there a carry on weight limit,ins
6071,what restrictions are there for carry-on on delta,ins
6072,what are the rules for carry on luggage for delta,ins
6073,what are delta's carry-on restrictions,ins
6074,tell me the carry on rules,ins
6075,does united airlines allow more than one carry on,ins
6076,how strict is spirit when it comes to carry ons,ins
6077,can i have 3 carry ons with delta at jfk,ins
6078,what is american airlines carry on policy,ins
6079,does delta allow more than one carry on when traveling to miami,ins
6080,does delta charge for carry ons,ins
6081,what are my carry on options when flying american airlines to trenton,ins
6082,how many carry ons does spirit allow when flying to dallas,ins
6083,what is delta's carry on policy,ins
6084,do you know about carry ons out of tampa with spirit,ins
6085,search for carry on rules for flights on delta airlines,ins
6086,what are the requirements for carry on on flights with united airlines,ins
6087,please find the rules for carry on when flying with spirit airlines,ins
6088,i need to know the carry on policy for american airlines flights,ins
